amarrar	fixar/fixar/prender/prender/confeccionar/conectar/conectar/deter/fabricar/anexar/confinar/atar/atar/reter/construir/juntar/juntar/prender/unir/unir/ligar/ligar/manter
amarrotar	mudar
amassar	lesionar/lesar/ferir/machucar/caminhar/ir/andar/manejar/enrugar/manusear/deformar/manipular/dobrar
ambicionar	ansiar/querer/desejar
amealhar	despender/gastar
ameaçar	alertar/avisar/advertir/existir/exprimir/expressar/ser/mostrar
amedrontar	atemorizar/assustar/aterrorizar/intimidar/comover/emocionar/estimular/excitar
amenizar	aperfeiçoar/melhorar/alterar/mudar
americanizar	modificar/alterar/mudar/alterar/mudar
amimar	tratar
amolar	modificar/alterar/mudar/desgostar/desagradar
amoldar	moldar/forjar/modelar/formar
amontoado	tampar/cobrir
amontoar	acrescer/completar/acrescentar/crescer/encher/aumentar
amordaçar	apetrechar/aparelhar/equipar/suprir/conectar/amarrar/atar/ligar
amortalhar	embrulhar/embalar/cobrir
amortecer	modificar/modificar/alterar/alterar/mudar/mudar/amenizar
amortizar	liquidar
amotinar	protestar
amotinar-se	protestar
amparar	prover/abastecer/fornecer/suprir
ampliar	modificar/alterar/mudar/progredir/aumentar
amputar	retirar/remover/tirar
anagramar	ler
anagramatizar	ler
analisar	seleccionar/selecionar/escolher
analizar	examinar
anastomosar	juntar/unir
anatomizar	analizar/examinar
ancorar	fixar/prender
andar	mensurar/quantificar/passear/viajar/viajar/viajar/viajar/viajar/viajar/viajar/viajar/viajar/viajar/viajar/viajar/viajar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/caminhar/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/ir/viajar
anexar	acrescer/somar/suplementar/acrescentar/adicionar/juntar/juntar/unir/unir
anglicizar	adequar/adaptar/ajustar
angustiar	disturbar/emocionar/perturbar/desconcertar/desconcertar/perturbar/perturbar/sofrer/confundir/confundir
anilhar	anexar/juntar/unir
animar	modificar/alterar/mudar/regozijar/regozijar-se/afectar/alegrar-se/energizar/energizar/comover/comover/alegrar/alterar/emocionar/emocionar/afetar/estimular/estimular/estimular/estimular/excitar/excitar/excitar/excitar/mudar
animar-se	regozijar/regozijar-se/alegrar-se/alegrar
animizar	modificar/alterar/mudar
aninhar	morar/povoar/habitar/viver
aniquilar	matar
anodizar	revestir/cobrir
anotar	compor/escrever/registar/registrar
ansiar	querer/desejar
antagonizar	agir/atuar/fazer
anteceder	jazer
antecipar	balizar/agir/atuar/avaliar/julgar/fazer
antever	conjeturar/conjecturar/imaginar/pensar/agir/atuar/fazer
antisepticizar	desinfectar/desinfetar
antropomorfizar	imputar/atribuir
anuir	gesticular/comunicar/transmitir
anular	enfraquecer/julgar/declarar
anunciar	contar/falar/jogar/dizer/enaltecer/elogiar/louvar/informar/informar/informar/contar/mostrar/jogar
anuviar	escurecer
apadrinhar	apoiar/suportar/ajudar
apagar	modificar/alterar/mudar/retirar/remover/remover/remover/ligar/tirar/tirar/tirar
apaixonar	comover/afetar/impressionar/parecer
apaixonar-se	alterar/mudar
