ab-rogação	revogação
alguém	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante/adjudicator/adoptada/adoptado/agnóstica/agregador/amada/amado/amo/apostador/atrasador/blogueira/blogueiro/bloguista/bruna/buscador/cara-metade/colecionador/comunicador/convertido/creador/credor/culturista/daltonico/demandante/desafortunado/descansador/desventurado/devedor/devedora/dislexico/dissidente/emulador/escolhedor/estrábico/experimentador/exploradora/fiduciário/filósofos/fungador/governante/hebraica/hebreia/infortunado/intelecto/loira/macaquice/manda-chuva/matarruano/moroso/nomeador/não-trabalhador/ocultista/odiador/pansexual/planejador/poliglota/possuidor/potentado/precursor/preparador/realizador/ruiva/simplória/simplório/sobrevivencialista/toureiro/travesti/xará/abridor/africano/amiga/anomalia/autodidata/autóctone/beligerante/camaleão/combatente/competidor/contendor/coxo/criatura/dissidência/dorminhoca/dorminhoco/esfinge/explorador/facilitador/falecido/fazedor/fêmea/governador/hetero/heterossexual/homo/homossexual/louro/lésbica/medricas/mestiço/optimista/perseguidor/plebeu/procrastinador/salva-vidas/sapatão/súdito/tigre/turista/vítima/admirador/agnóstico/anti-americano/candidato/capitalista/cidadão/concorrente/covarde/criador/destro/dono/eslavo/gay/gêmeos/hebreu/homônimo/jogador/judia/lutador/morena/negra/otimista/ruivo/artista/camarada/conhecido/criativo/ganhador/hebraico/introvertido/judeu/juvenil/menor/nativo/pagão/tirano/vencedor/viajante/vitoriano/amizade/caucasiano/criança/extrovertido/guerreiro/intérprete/juiz/negro/proprietário/seguidor/terror/agente/amante/bebê/branco/esperança/face/jovem/latino/máquina/personificação/trabalhador/veado/árbitro/amigo/intelectual/pessoa/varão/estudante/menino/bicha/estrangeiro/macho/rosto/cara/homem/morte/ser/idiota/parte/estúpido/vida
aliança	concessão/aceite/aliados/eixo/subscrição/ajuste/aquiescência/assentimento/assinatura/concordância/concórdia/ratificação/concessão/consentimento/convenção/conspiração/harmonia/conformidade/aprovação/acordo
alicates	alicate
aligátor	jacaré-americano
alimentação	repasto/refeição/vitamina/prato/coprofagia/cortarempedaçospequenos/degustação/fast-food/gavagem/micofagia/paste/petisco/puré/guloseima/banquete/leite/prato
alimento	farinhas/repasto/seiva/cardápio/ovo/refeição/suco/sumo/vitamina/menu/cereal/bebida/farinha/prato/alimentos/comestivel/cortarempedaçospequenos/dieta/dietas/fast-food/lacticínio/laticínio/maná/micronutriente/petisco/provisões/puré/quimo/suprimentos/tapioca/conserva/guloseima/ingrediente/ração/alimentação/nutriente/nutrição/comida/dieta/fibra/gema/leite/tez/farinha/mesa/água/prato/mistura/meio
alinhamento	camber
alistamento	came
aljava	tremida/tremor
alma	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/psiquê/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/assombração/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/aparição/conhecido/defensor/espectro/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/fantasma/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante/adjudicator/adoptada/adoptado/agnóstica/agregador/alacridade/amada/amado/amo/apostador/atrasador/banshee/blogueira/blogueiro/bloguista/bruna/buscador/cara-metade/colecionador/comunicador/convertido/creador/credor/culturista/daltonico/demandante/desafortunado/descansador/desventurado/devedor/devedora/dislexico/dissidente/emulador/escolhedor/estrábico/experimentador/exploradora/familiar/fiduciário/filósofos/fungador/furor/governante/génio/gênio/hebraica/hebreia/infortunado/intelecto/loira/macaquice/manda-chuva/matarruano/moroso/nomeador/numina/não-trabalhador/ocultista/odiador/pansexual/planejador/poliglota/possuidor/potentado/precursor/preparador/realizador/ruiva/simplória/simplório/sobrevivencialista/toureiro/travesti/xará/abridor/africano/amiga/anomalia/autodidata/autóctone/beligerante/camaleão/combatente/competidor/contendor/coxo/criatura/dissidência/dorminhoca/dorminhoco/esfinge/explorador/facilitador/falecido/fazedor/fêmea/governador/gênio/hetero/heterossexual/homo/homossexual/louro/lésbica/medricas/mestiço/optimista/perseguidor/plebeu/procrastinador/salva-vidas/sapatão/súdito/tigre/turista/vítima/admirador/agnóstico/anti-americano/candidato/capitalista/cidadão/concorrente/covarde/criador/destro/dono/eslavo/gay/gêmeos/hebreu/homônimo/jogador/judia/lutador/morena/negra/otimista/ruivo/artista/camarada/conhecido/criativo/ganhador/hebraico/introvertido/judeu/juvenil/menor/nativo/pagão/tirano/vencedor/viajante/vitoriano/amizade/caucasiano/criança/extrovertido/familiar/fantasma/guerreiro/intérprete/juiz/negro/proprietário/seguidor/terror/vigor/agente/amante/bebê/branco/esperança/face/jovem/latino/máquina/personificação/trabalhador/veado/árbitro/amigo/energia/intelectual/pessoa/varão/estudante/menino/presença/bicha/estrangeiro/macho/rosto/cara/homem/morte/ser/idiota/parte/estúpido/vida
