abandonar	perder
deixar	aturar/tolerar/aguentar/suportar/admitir/aceitar/lembrar-se/confiar/autorizar/permitir/lembrar/desistir/parar/abandonar
delapidar	dissipar/desperdiçar
delegar	avançar/promover
delinear	escrever
demandar	exigir/requerer/custar
denominar	baptizar/batizar/rotular/classificar
derramar	salpicar/espalhar
desabar	amainar/contrair-se/murchar/abater/amenizar/encolher/enrugar/declinar/contrair/enfraquecer/diminuir
desabilitar	deter/confinar/reter/prender/manter
desaguar	salpicar/espalhar
desaparecer	esvanecer
desativar	deter/confinar/reter/prender/manter
descansar	levantar/capotar/sonecar/dormir/dormitar/cochilar
descartar	abandonar
descer	naufragar/afundar/apear/apear-se/desmontar/afundar/cair
descolar	cair/cortar
descolorir	enrubescer/rosar/ruborizar/corar/avermelhar/empalidecer/clarear
desconcertar	angustiar/doer/machucar
descontinuar	desistir/parar/abandonar
desejar	ansiar/suspirar/esperançar/aguardar/querer/esperar
desempenhar	tocar/ensaiar/improvisar/exercitar/praticar
desenvolver	amadurecer/evoluir/florir/desabrochar/florescer/progredir/avançar/crescer
desfazer	desabotoar/desengatar/desamarrar/desatar/desdobrar/abrir
desgrudar	cair/cortar
designar	rotular/classificar
desinformar	mentir
desintegrar	desfazer-se/desmoronar
desistir	parar/abandonar
deslizar	resvalar/derrapar/escorregar/patinar
deslocar	arredar/contorcer/enroscar/espernear/torcer-se/alçar/botar/manar/virar-se/dançar/fluir/largar/entornar/pulsar/tornar-se/verter/derramar/elevar/expulsar/puxar/erguer/transportar/empurrar/forçar/girar/pôr/sacudir/soltar/tremer/sair/transmitir/correr/levantar/levar/partir/agitar/colocar/deixar/virar/carregar/tirar/separar/afugentar/arriar/deslocar-se/desvanecer/engatar/vassourar/abalroar/bailar/brandir/expedir/oscilar/propulsar/propulsionar/rechaçar/revolver/dançar/ondular/revirar/transladar/afastar/submergir/engajar/transferir/varrer/deslizar/despachar/encostar/impulsionar/rodar/situar/rebaixar/rolar/afundar/embarcar/baixar/mexer/transportar/empurrar/atravessar/guiar/desaparecer/transmitir/enviar/trazer/partir/agitar/conduzir/lançar/dividir/tocar/separar/bater
desmoronar	estourar/arrebentar/explodir/fragmentar
desordenar	abagunçar/desorganizar/bagunçar
despachar	aviar/enviar
despachar-se	correr
despender	delapidar/dilapidar/esbanjar/desperdiçar/torrar/gastar/dispor/consumir/investir/poder
desperdiçar	dissipar
