abalroar	assentar
apressar	correr/borboletear/esvoaçar/acelerar/correr
apressar-se	correr/borboletear/esvoaçar
aprofundar	acerar/agilizar/chamejar/coruscar/flamejar/redobrar/acelerar/afiar/apressar
aprontar	providenciar/socializar/cultivar/trabalhar/preparar
aprovar	consentir/permitir/concordar/deixar/carimbar/sucumbir/ceder/consentir/desistir
aproveitar	manipular/utilizar/alimentar/usar/jogar
aproximar	quantizar/truncar/menosprezar/subestimar/chutar/estimar/avaliar/contar/considerar
aprumar	acamar/deitar-se/curvar-se/estender-se/levantar-se/inclinar/assentar-se/endireitar/sentar-se/assentar/sentar/retificar/afundar/cair
apurar	espiar
aquecer	calentar/esturricar/preaquecer/reaquecer/superaquecer/tostar
arranjar	agavelar/coordenar/empilhar/acumular/organizar/drapejar/encadenar/escalonar/rearranjar/serializar/seriar/regularizar/reordenar/drapear/encadear/enfileirar/alisar/emparelhar/alienar/estratificar/dispor/distribuir/adornar/decorar/arrumar/ordenar/colocar
arrebentar	estourar/explodir
arrecadar	multar/taxar
arredar	arrastar/atrair/abduzir/aduzir/arrancar/arrastar/puxar/esticar/tremer/tirar
arriar	inclinar
arriscar	aventurar-se/aventurar
arruinar	assolar/depredar/vandalizar/devastar/subverter/violar/explodir/devorar/queimar/destruir/quebrar/pegar
arrumar	sincronizar/organizar
arrumar-se	dandificar/caber/vestir/pôr/usar/trocar/colocar/mudar
articular	cecear/ciciar/labelizar/palatalizar/silabificar/subvocalizar/trilar/acentuar/nasalizar/clicar/vocalizar/cantar/esticar/enrolar
ascender	galgar/trepar/montar/subir/borbulhar/levantar/subir
assaltar	bombardear/bombear/sitiar/torpedear/contra-atacar/saraivar/cercar/emboscar/invadir/ocupar/atacar
assassinar	justiçar/executar
assear	lavar/desempoeirar/desinfectar/desinfetar/higienizar/catar/sanitizar/escovar/varrer
assediar	enfadar/tormentar/retalhar/atormentar/crucificar/importunar/incomodar
assemelhar	aproximar-se/ecoar/aproximar/copiar/imitar/lembrar/parecer
assemelhar-se	aproximar-se/assemelhar/ecoar/aproximar/copiar/imitar/lembrar/parecer
asseverar	alegar/proclamar/protestar/reivindicar/confirmar/afirmar/declarar/manter
assinalar	cadastrar/ler/significar/mostrar/registrar
assistir	ajudar/servir/desenrascar/zelar/facilitar/socorrer/acelerar/apressar/cuidar/aliviar
associar	correlacionar/correlatar/inter-relatar/inter-relacionar/mencionar/identificar/referir/lembrar
associar-se	afiliar/afiliar-se/refiliar/reingressar/infiltrar/inscrever/unificar/penetrar/organizar/reunir
assumir	pressupor
assustar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/intimidar/impressionar
atacar	bombardear/bombear/sitiar/torpedear/contra-atacar/saraivar/cercar/emboscar/invadir/ocupar
atar	acorrentar/amordaçar/laçar/amarrar
atemorizar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/assustar/intimidar/impressionar
atenuar	confortar/acalmar/aliviar
aterrorizar	terrificar/horripilar/consternar/horrorizar/amedrontar/assustar/intimidar/impressionar
atestar	aduzir/alegar/manifestar/presumir/citar/demonstrar/certificar/provar/dizer
atingir	efectuar/conseguir/efetuar/negociar/suceder/alcançar/obter/realizar/passar/readquirir/abalroar/consumar/desempenhar/assinar/chocar/colidir/conseguir/cumprir/comprar/culminar/funcionar/alcançar/executar/obter/realizar/adquirir/chegar/começar/fazer/bater
atirar	arremessar/arremeter/lançar/defenestrar/escamotear/prestidigitar/alijar/prostrar/pular/sacudir/jogar/lançar/passar
atrapalhar	ocluir/entravar/interferir/barrar/estorvar/inibir/tapar/tolher/entupir/obstruir/impedir/trancar/excluir/defender/reter/evitar/segurar
atrasar	segurar
atravessar	transitar/transgredir/infiltrar/negociar/correr
atribuir	alocar/antropomorfizar/interiorizar/internalizar/reatribuir/externalizar/agradecer/sensualizar/culpar/reservar/responsabilizar/personificar/projectar/projetar/separar
atuar	troçar/atrever/atrever-se/ousar/participar/premiar/virar-se/voluntariar/caçoar/recompensar/repagar/compartilhar/aguentar/lidar/sobreviver/tentar/procurar/oferecer/acercar-se/aportar/co-atuar/comportar/devassar/efectivar/hostilizar/interagir/perpetrar/proceder/afectar/antagonizar/atrever/atrever-se/coadjuvar/cometer/costumar/desesperar/efectuar/efetivar/folgar/galantear/namorar/optimizar/ousar/parodiar/reciprocar/reencenar/reiterar/agredir/alternar/antecipar/antever/azarar/comportar-se/condescender/disturbar/esfriar/evadir/flertar/manobrar/performar/retratar/romantizar/sentimentalizar/vulgarizar/agir/associar/debandar/desempenhar/gozar/presumir/reagir/aguardar/efetuar/emocionar/engajar/envolver/personificar/simular/acelerar/afetar/conquistar/lidar/apressar/descer/endurecer/furtar/prosseguir/surpreender/fingir/prever/repetir/brincar/desmoronar/permanecer/responder/interromper/lutar/perturbar/reter/disparar/forçar/ser/satisfazer/adquirir/criar/esperar/roubar/acabar/atacar/resistir/continuar/correr/jogar/seguir/representar/conduzir/começar/fazer
aturar	engolir/aceitar/consentir/aguentar
auferir	rentabilizar/lucrar/render/lucrar/capitalizar
aumentar	ampliar/prolongar/florescer/intensificar/expandir/estender/subir/acirrar/altear/conglomerar/desgalhar/elevar-se/hipertrofiar/proliferar/ramificar-se/desabrochar/maximizar/revalorizar/acrescer/aglomerar/amontoar/aprofundar/multiplicar/ramificar/enraizar/progredir/somar/intensificar/alongar/elevar/expandir/acumular/acrescentar/regenerar/esticar/ganhar/adicionar/apreciar/crescer/desenvolver/estender/subir
autorizar	deferir/sancionar/licenciar/certificar/aprovar/formalizar/ratificar/validar/certificar/declarar
auxiliar	assistir/ajudar/servir/desenrascar/zelar/facilitar/socorrer/acelerar/apressar/cuidar/aliviar
avaliar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/pensar/escolher/achar/enaltecer/imputar/reavaliar/elogiar/ensaiar/estandardizar/prejulgar/quantizar/padronizar/truncar/valorizar/associar/criticar/louvar/prognosticar/atribuir/designar/menosprezar/subestimar/testar/censurar/predizer/chutar/desaprovar/tentar/estimar/prever/aprovar/corrigir/rejeitar/contar/julgar/declarar/aceitar/considerar/achar/passar
avançar	favorecer/preferir/capengar/enobrecer/nobilitar/passear/escalar/dirigir/ir/subir
avariar	deteriorar/estragar/avacalhar/atribular/erodir/afligir/desfigurar/falir/mutilar/corroer/magoar/danificar/deteriorar/estragar/piorar/comer/machucar/queimar/partir/mudar/quebrar
averiguar	espiar
aviltar	desumanizar/abastardar/esmagar/sensualizar/degradar/desvalorizar/envenenar/rebaixar/reduzir
avionar	planar
avisar	ameaçar/alarmar/admoestar/alertar/prevenir/advertir
avistar	detectar/observar/descobrir/achar/ver
avizinhar	atracar/chegar
bagunçar	misturar/abagunçar/disarranjar/desorganizar
baixar	naufragar/descer/afundar/derrubar/pôr/cair/apear/apear-se/rappel/gotejar/polvilhar/desmontar/pingar/pousar/desembarcar/decair/declinar/precipitar/mergulhar/descer/afundar/inclinar/corrigir/cair
bajular	adular
balancear	compensar/contrabalançar/contrabalancear/complementar/emparelhar/completar/suplementar/compensar/corrigir
balizar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/avaliar/pensar/escolher/achar/imputar/ensaiar/prejulgar/associar/criticar/prognosticar/atribuir/designar/testar/predizer/desaprovar/tentar/prever/aprovar/avaliar/rejeitar/julgar/declarar/aceitar/considerar/achar/passar
bastar	qualificar-se/qualificar/servir
batalhar	digladiar/lutar
bater	esmurrar/estapear/chibatar/açoitar/chicotear/chutar/bicar/driblar/emburacar/fincar/abalroar/cacetear/arrombar/espancar/golpear/surrar/martelar/socar/acertar/chocar/colidir/salvar/espalhar/jogar/cortar
